%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 500 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
48.0, -187500.02235174447, -177413.84236977607, -187500.02235174447, -113894.34205226209, 39231.71481272159, 39188.19596626711, -187500.02235174447, 39094.74332269947, -187500.02235174447, -187500.02235174447, -187500.02235174447, -187500.02235174447, 39194.29799250341, -129461.0580159495, 39089.87064240821, 39157.641131596705, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575844983E9, 0.0, 2025-12-15 09:19:35.844
49.0, -160123.0916527619, -160173.13720859733, -160327.92303895034, -161304.15782978034, -187500.02235174447, 45298.91703115905, -159564.58861405714, -160439.30178157112, -165767.62238354952, -159724.20242121248, -159203.7196998262, -161242.64582903933, -160300.4750967592, -160731.86376474664, -157180.99858534322, -160453.6739532559, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758450277E9, 0.0, 2025-12-15 09:19:35.845
50.0, -160090.70397504617, -160161.53665322505, -160341.51289957916, -161341.82051918752, -187500.02235174447, 45294.78195843482, -159600.8207918192, -160527.1888407694, -165764.64960153695, -159730.14798523762, -159172.53901631106, -161243.20462265072, -160293.2778350446, -160767.98418378644, -157164.83827410202, -160533.51438445025, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575845061E9, 0.0, 2025-12-15 09:19:35.845
51.0, -160060.4844165426, -160144.63873441683, -160350.09596945, -161365.78158924362, -187500.02235174447, 45283.941362374, -159638.66229518203, -160595.652234036, -165767.3765143605, -159735.33358995125, -159160.7149434942, -161246.66914304128, -160291.80261991057, -160792.5934544317, -157142.41947441336, -160601.32957712765, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758450887E9, 0.0, 2025-12-15 09:19:35.845
52.0, -159947.87632797676, -160043.98882913459, -160372.87239704997, -161358.85254846246, -187500.02235174447, 45280.90152512807, -159785.84853242023, -160659.84644411164, -165677.4107429279, -159659.58352799222, -159088.295291459, -161154.87052856333, -160230.08945346947, -160750.88509927812, -157206.23370483326, -160667.7366099044, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758451152E9, 0.0, 2025-12-15 09:19:35.845
53.0, -159861.9338705461, -159956.19117691412, -160379.5555686421, -161322.08392883348, -187500.02235174447, 45288.679932198516, -159919.62372298524, -160660.33818248968, -165576.44791322327, -159562.8228262452, -158995.08851708038, -161051.1584342907, -160150.07020831946, -160667.7366099044, -157330.04001737118, -160698.5820172527, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758451433E9, 0.0, 2025-12-15 09:19:35.845
54.0, -159875.27786198593, -159953.21839490157, -160360.10955096598, -161281.29199520254, -187500.02235174447, 45291.58565897771, -159917.9473421511, -160579.33546058362, -165561.29343048256, -159535.88897417655, -158986.9301303542, -161033.16528000418, -160130.15480400977, -160614.51710635627, -157378.72211679484, -160651.24102249637, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758451703E9, 0.0, 2025-12-15 09:19:35.845
55.0, -159901.07177508733, -159959.9462699826, -160342.96576296876, -161241.058855183, -187500.02235174447, 45296.078359613224, -159882.27395800044, -160473.63406105447, -165556.44310193576, -159524.53428799324, -159009.55009574298, -161026.14683224523, -160130.51243192106, -160574.21691110337, -157403.08551825114, -160572.2946610802, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575845197E9, 0.0, 2025-12-15 09:19:35.845
56.0, -159929.9502289236, -159975.92776726818, -160330.13586165142, -161213.9014856698, -187500.02235174447, 45305.82372019574, -159839.76094004643, -160386.73047861224, -165550.2293169772, -159515.54888672222, -159015.3839010458, -161018.97192227506, -160128.61253364236, -160544.28792527772, -157425.63842840653, -160499.69619508937, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758452249E9, 0.0, 2025-12-15 09:19:35.845
57.0, -160050.31437281542, -160084.9372249767, -160310.4439747863, -161225.055006153, -187500.02235174447, 45311.41165630957, -159692.90997897508, -160312.76855620963, -165648.6440478139, -159597.95976852893, -159091.4468874272, -161117.65487404526, -160198.10410715392, -160590.1984083889, -157363.1876543984, -160433.40092103495, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758487697E9, 0.0, 2025-12-15 09:19:35.848
58.0, -160139.11785353636, -160176.4005632878, -160307.02415788462, -161264.63994558336, -187500.02235174447, 45305.957830662475, -159562.44284658943, -160306.7335852067, -165758.63698227846, -159702.11889769064, -159189.6157490749, -161228.69834049922, -160286.6840704303, -160680.20888331044, -157245.84099600805, -160408.2105050338, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758488593E9, 0.0, 2025-12-15 09:19:35.848
59.0, -160127.78551909752, -160183.2625488356, -160333.17569889734, -161311.22098102822, -187500.02235174447, 45307.477749285434, -159574.3116228952, -160388.49626642422, -165774.19379641936, -159729.76800558186, -159196.0306997336, -161245.86448024088, -160308.1864485963, -160734.88125024812, -157203.9985303877, -160460.4688835703, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758490915E9, 0.0, 2025-12-15 09:19:35.849
60.0, -160094.05673671447, -160170.36559228488, -160345.51386183666, -161346.15675761184, -187500.02235174447, 45302.35919980517, -159610.02971053479, -160483.58058733708, -165775.44549410886, -159739.200441742, -159168.82862673147, -161249.66427679828, -160305.41483228386, -160773.88504432264, -157188.66523369137, -160542.32097176564, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758542745E9, 0.0, 2025-12-15 09:19:35.854
61.0, -160063.45719855514, -160153.69119092124, -160354.43220787434, -161369.96136545675, -187500.02235174447, 45291.116272344145, -159650.37460927662, -160561.25289931928, -165773.34443013006, -159738.954572553, -159150.7237137227, -161247.6079163084, -160298.4857915027, -160793.7110416545, -157160.1891112553, -160605.19642891843, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575854329E9, 0.0, 2025-12-15 09:19:35.854
62.0, -159959.43217986016, -160063.56895727743, -160387.98217630174, -161373.38118235843, -187500.02235174447, 45298.335885803215, -159810.5695617878, -160644.24492648186, -165696.76735362617, -159676.41439156706, -159091.7598118496, -161169.91325258175, -160250.3848374349, -160766.68778260803, -157238.95665871582, -160687.27203455832, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758543656E9, 0.0, 2025-12-15 09:19:35.854
63.0, -159862.55971939085, -159967.34469739732, -160385.14350475592, -161326.8672021469, -187500.02235174447, 45297.50887125837, -159937.90744994968, -160640.78040609127, -165583.86869238244, -159570.08714319314, -158987.39951698776, -161055.8523006263, -160159.6591066908, -160673.5704152072, -157353.06231416017, -160708.41678481305, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758600142E9, 0.0, 2025-12-15 09:19:35.860
64.0, -159873.35561196276, -159962.4496653616, -160363.5517196121, -161283.63892837035, -187500.02235174447, 45300.61576373765, -159937.7509877385, -160560.98467838584, -165565.42850320681, -159540.33697132315, -158976.24599650456, -161035.33339921635, -160136.52505117955, -160616.30524591272, -157398.77163157126, -160657.79008362177, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758600783E9, 0.0, 2025-12-15 09:19:35.860
65.0, -159906.36913852324, -159976.84418879083, -160355.30392590808, -161251.6088785659, -187500.02235174447, 45311.322249331744, -159913.4546415156, -160466.30268887314, -165566.50138694065, -159534.79373869824, -159004.74447068508, -161034.30521897142, -160143.25292626058, -160581.68239375143, -157430.84638486462, -160585.7057077534, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758601255E9, 0.0, 2025-12-15 09:19:35.860
66.0, -159933.86178420327, -159992.04337502044, -160340.37296061195, -161222.551610774, -187500.02235174447, 45319.48063605793, -159868.90761481615, -160378.5497401416, -165561.96398281623, -159528.37878803955, -159012.791098689, -161029.72311135806, -160142.62707741585, -160554.23445156033, -157455.18743457645, -160514.44834642988, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758661287E9, 0.0, 2025-12-15 09:19:35.866
67.0, -160048.90621291474, -160095.6884140597, -160313.3497015655, -161226.88784919833, -187500.02235174447, 45320.486464558424, -159713.13830770712, -160298.4857915027, -165652.95793449378, -159603.99473953186, -159082.93087278973, -161122.01346421405, -160204.42965083476, -160593.28294912374, -157384.53357035323, -160439.74881646025, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758661876E9, 0.0, 2025-12-15 09:19:35.866
68.0, -160148.32677225195, -160196.89711295333, -160319.00469291268, -161276.2181492112, -187500.02235174447, 45322.2969558593, -159589.8684370361, -160301.838553171, -165770.50575858424, -159715.46288913046, -159189.816914775, -161240.63417203835, -160299.9833583812, -160690.64714797106, -157272.43957190987, -160420.50396448423, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575866232E9, 0.0, 2025-12-15 09:19:35.866
69.0, -160133.82049010045, -160199.62402577687, -160343.21163215776, -161320.78752765508, -187500.02235174447, 45321.71581050346, -159600.23964646336, -160382.0589640211, -165787.89541577047, -159745.68244763406, -159199.24935093516, -161259.43198912527, -160323.5420970371, -160748.20288994347, -157234.4192545914, -160475.89158724446, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758740363E9, 0.0, 2025-12-15 09:19:35.874
70.0, -160093.60970182536, -160179.8650836784, -160349.49247234972, -161349.71068498024, -187500.02235174447, 45311.59047026521, -159630.59331543368, -160472.33765987607, -165778.73120054379, -159744.98954355594, -159162.01134467262, -161252.72646578867, -160312.67914923182, -160776.9025298241, -157209.74292871272, -160548.17712881294, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575874108E9, 0.0, 2025-12-15 09:19:35.874
71.0, -160069.42511432472, -160168.9574323842, -160363.7975888011, -161379.28204289463, -187500.02235174447, 45304.81789169525, -159675.47561829994, -160555.91083239447, -165784.09561921307, -159752.32091573728, -159152.1765771123, -161258.49321585815, -160314.2437713437, -160803.79167840382, -157187.54764646862, -160618.13808895805, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758741393E9, 0.0, 2025-12-15 09:19:35.874
72.0, -159957.9569647261, -160069.67098351373, -160387.17751350134, -161373.76116201415, -187500.02235174447, 45303.11915911665, -159823.84649799427, -160628.28578094076, -165699.7624873832, -159682.96345269246, -159086.52950364703, -161173.08720029442, -160254.29639271455, -160767.87242506415, -157254.24525192325, -160689.39545028156, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765761575879498E9, 0.0, 2025-12-15 09:19:35.879
73.0, -159857.55292863285, -159968.59639508682, -160382.4165919324, -161325.63785620188, -187500.02235174447, 45302.22508933843, -159951.27379313397, -160624.30717042772, -165581.78998014808, -159572.1658554275, -158978.99526107256, -161054.08651281436, -160156.6416211893, -160670.6199849391, -157364.46170383238, -160707.45565980146, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.76576157587957E9, 0.0, 2025-12-15 09:19:35.879
74.0, -159872.05921078435, -159966.6517933192, -160364.46814113477, -161286.54465514954, -187500.02235174447, 45308.70709523047, -159955.5429763249, -160550.65817244747, -165566.79195961857, -159545.5002242923, -158971.99916505805, -161036.78626260595, -160136.90503083527, -160617.3110744132, -157414.82018409017, -160661.85810111262, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657615758796172E9, 0.0, 2025-12-15 09:19:35.879
