%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 500 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
91.0, -163833.4812323429, -89972.65576990315, -183728.1207714225, -184895.99941921228, -182517.2820707896, -187500.02235174447, -187500.02235174447, -181776.34409384063, -183487.50424236112, -182026.88479744017, -185298.0849502188, -185698.71761783573, -184279.20303096808, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260574543E9, 0.0, 2025-12-15 12:57:06.057
92.0, -163014.44626026705, -88402.19985272884, -184319.83850238784, -184363.4691075646, -183271.98872232303, -187500.02235174447, -187500.02235174447, -181128.07644940336, -184697.06889356006, -181810.3634489016, -186453.82660076936, -187085.19632639844, -185390.82233796388, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260574796E9, 0.0, 2025-12-15 12:57:06.057
93.0, -162395.14647664386, -87176.36313156642, -184933.43859117493, -184042.65451939756, -183901.6150118846, -187500.02235174447, -187500.02235174447, -180638.21561792085, -185498.53539449399, -181806.4518936219, -187382.20630672053, -187500.02235174447, -186234.77950510735, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260574944E9, 0.0, 2025-12-15 12:57:06.057
94.0, -162353.79574940156, -87015.22940578812, -185158.40889911758, -184096.14224387912, -184013.172568461, -187500.02235174447, -187500.02235174447, -180601.1340738695, -185444.13124848978, -181944.07158423326, -187442.77953419441, -187500.02235174447, -186291.48588079048, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765774626057507E9, 0.0, 2025-12-15 12:57:06.057
95.0, -162453.77510235013, -87188.0307421721, -185176.62557084867, -184239.7969054934, -183937.8024861577, -187500.02235174447, -187500.02235174447, -180692.50800520278, -185248.3299670613, -182073.8234607963, -187245.16776146507, -187470.6521595302, -186134.30841378076, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260575228E9, 0.0, 2025-12-15 12:57:06.057
96.0, -162723.49360269232, -87739.20240869552, -185022.39853410705, -184492.01398992707, -183674.76715740768, -187500.02235174447, -187500.02235174447, -180922.66391785908, -184788.04049349314, -182251.273960027, -186834.63327105442, -186921.33568779656, -185727.4843129497, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765774626057538E9, 0.0, 2025-12-15 12:57:06.057
97.0, -163568.14367391393, -89348.79623041108, -184414.00640177805, -185034.75904879085, -182903.29669753276, -187500.02235174447, -187500.02235174447, -181589.23764100525, -183544.99292910015, -182469.04700625504, -185645.54281777656, -185495.94259213717, -184586.49481373964, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260575533E9, 0.0, 2025-12-15 12:57:06.057
98.0, -164204.6095972788, -90587.64166684648, -183792.2702780092, -185355.46187823557, -182269.20005908015, -187500.02235174447, -187500.02235174447, -182087.5697836363, -182733.06581176113, -182466.58831436496, -184702.3886087404, -184671.05146301407, -183731.65234704642, -187127.88815830805, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260575683E9, 0.0, 2025-12-15 12:57:06.057
99.0, -164236.03614998295, -90713.14671196303, -183581.1804033733, -185288.13842393618, -182180.0613021924, -187500.02235174447, -187500.02235174447, -182112.38021998171, -182821.84694073763, -182321.07845796092, -184671.52084964764, -184883.46009057286, -183703.89148043294, -187303.3046487933, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260575824E9, 0.0, 2025-12-15 12:57:06.057
100.0, -164112.72157582303, -90511.64573569843, -183560.2815223076, -185129.08341039222, -182251.69864317164, -187500.02235174447, -187500.02235174447, -182005.58358497426, -183021.26920476786, -182184.06226444987, -184876.37458758053, -185147.32243386775, -183863.86291549957, -187500.02235174447, -187500.02235174447, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657746260575955E9, 0.0, 2025-12-15 12:57:06.057
