%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 500 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
84.0, -166928.21436264686, -156427.02954137677, -169407.44750588507, -171632.42955594417, -168887.83650253256, -169064.59409768513, -169188.42276196752, -168873.33022038106, -168675.13730229586, -167797.63016672496, -168490.55659658392, -169243.87743996113, -166932.59530456012, -169099.7533917133, -187500.02235174447, -169875.26951733464, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765779750994686E9, 0.0, 2025-12-15 14:22:30.994
85.0, -166906.66728099197, -156151.20901479828, -169936.1556692309, -172039.58893294205, -168674.1091220509, -168937.30091301215, -169092.7572956988, -169180.8902240861, -168800.73175439023, -167736.92282878433, -168567.80422542148, -169457.98480009852, -166824.65873058545, -168944.25230553775, -187500.02235174447, -169595.06804884292, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657797509947543E9, 0.0, 2025-12-15 14:22:30.994
86.0, -167061.8777944896, -155564.8109990133, -170882.2379567907, -172818.12254406483, -168256.37736992567, -169110.83985696314, -169243.5421637943, -169917.26844516618, -169567.24012699607, -167718.4826396087, -169300.58381564426, -170310.41327839057, -166637.3734637944, -169127.424851349, -187500.02235174447, -169488.003192902, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765779750994772E9, 0.0, 2025-12-15 14:22:30.994
87.0, -167369.01311504998, -154871.0575546095, -171977.36167637847, -173761.7014362456, -167730.5972851035, -169511.58428330236, -169567.53069967398, -170849.60440988594, -170634.20064857014, -167742.10843349798, -170353.2168690225, -171435.465983804, -166444.20968821165, -169549.96222853212, -187500.02235174447, -169575.0185340665, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765779750994784E9, 0.0, 2025-12-15 14:22:30.994
88.0, -167760.1015877845, -154278.0657742102, -172939.73838564617, -174607.40203945662, -167247.8666601022, -170049.1884409414, -169991.6774024579, -171743.7412433316, -171796.29019454602, -167816.9197221899, -171510.85841785173, -172631.21725692955, -166275.7892937409, -170120.6916714539, -187500.02235174447, -169810.4271066698, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657797509947965E9, 0.0, 2025-12-15 14:22:30.994
89.0, -167981.16034044747, -154106.15850760444, -173110.34925107352, -174782.34914330833, -167132.21873429045, -170458.20301272906, -170319.26456919487, -172051.43535750336, -172582.44575052807, -167917.79314491668, -172336.24128535288, -173399.55847258074, -166218.9264558466, -170634.4241660147, -187500.02235174447, -170148.8548694676, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765779750994808E9, 0.0, 2025-12-15 14:22:30.994
90.0, -167995.1972359654, -154375.85465620217, -172569.25822129945, -174364.77385339426, -167338.59239084632, -170577.53897637594, -170410.30322436133, -171731.537190859, -172436.89119063513, -167970.38679962003, -172239.56999058367, -173163.1217197325, -166325.87955306526, -170779.77756020756, -187500.02235174447, -170426.64234955815, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657797509948196E9, 0.0, 2025-12-15 14:22:30.994
91.0, -167846.02169347068, -154958.1175992629, -171630.4626024321, -173592.78930339686, -167746.86935506694, -170405.34113709227, -170262.5805452562, -171000.47868495926, -171664.95134412663, -167981.58502359214, -171499.9284148131, -172305.6193954491, -166506.5040000086, -170590.011249782, -187500.02235174447, -170527.6945862406, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765779750994831E9, 0.0, 2025-12-15 14:22:30.994
92.0, -167561.3498760879, -155652.27337506693, -170564.99964773652, -172677.2618505075, -168262.99348628445, -170018.25362661525, -169950.55019266013, -170093.46724670735, -170612.09477330386, -167961.2002326489, -170461.1310912527, -171195.0059169538, -166699.8018860581, -170174.55937559123, -187500.02235174447, -170444.0320067444, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657797509948406E9, 0.0, 2025-12-15 14:22:30.994
93.0, -187500.02235174447, -187500.02235174447, -155558.217234399, -74948.72956856842, -154897.94670318923, -145288.9988170861, -143655.08629740315, -145450.3337085645, -143552.2906246532, -146848.10004807712, -141907.13517750922, -140981.25886693705, -144044.27487185894, -145870.0771176907, -187500.02235174447, -142380.92510472838, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657797509948504E9, 0.0, 2025-12-15 14:22:30.994
