%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 500 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
90.0, 176985.8735186903, -101408.16586114954, 30511.80756232829, 177226.87002740742, -106502.6872161254, 177058.71785387016, 177077.96270584618, 177045.44091766368, -187500.02235174447, -187500.02235174447, 177011.15334166927, -187500.02235174447, 177031.1358012123, 177008.29231837898, 176857.90978168367, 176931.4693726861, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198247972E9, 0.0, 2025-12-15 12:25:19.824
91.0, 177015.55663532694, -97504.45604377461, 28273.079189429187, 177255.90494345487, -114001.78688785875, 177085.4505402387, 177106.52823526005, 177074.00644707758, -187500.02235174447, -187500.02235174447, 177041.39525191727, -187500.02235174447, 177061.19889750468, 177038.46717339364, 176888.03993320942, 176961.59952421184, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248243E9, 0.0, 2025-12-15 12:25:19.824
92.0, 177095.01708686556, -86949.2694079005, 22671.799084162605, 177332.9067031034, -133599.14822568276, 177156.50673586212, 177182.79238734156, 177150.3600061369, -187500.02235174447, -187500.02235174447, 177118.307604588, -187500.02235174447, 177138.04419494202, 177115.44658129773, 176965.04169285795, 177038.51187688255, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248377E9, 0.0, 2025-12-15 12:25:19.824
93.0, 177156.03734922854, -77318.66268142017, 17604.882133589046, 177391.69179102086, -151573.01295674, 177210.0838673215, 177240.99632990317, 177208.58630044298, -187500.02235174447, -187500.02235174447, 177175.05868376003, -187500.02235174447, 177194.79527411406, 177171.9741430252, 177021.92688249671, 177095.48647349913, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248496E9, 0.0, 2025-12-15 12:25:19.824
94.0, 177159.0101312411, -76324.07710839238, 16957.217986252068, 177394.4187038444, -153954.90425287536, 177212.1849313003, 177243.54442877107, 177211.2685097776, -187500.02235174447, -187500.02235174447, 177176.80211982754, -187500.02235174447, 177196.44930320376, 177173.53876513705, 177023.87148426432, 177097.2969648, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248632E9, 0.0, 2025-12-15 12:25:19.824
95.0, 177145.7108432902, -78495.70554443664, 17899.947512143553, 177381.72291299378, -150472.94950162765, 177200.58437592798, 177231.1392105984, 177198.79623637156, -187500.02235174447, -187500.02235174447, 177164.08397723245, -187500.02235174447, 177183.68645711977, 177160.73121556416, 177011.26510039152, 177084.66822918275, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248758E9, 0.0, 2025-12-15 12:25:19.824
96.0, 177117.97232842117, -82012.39490656792, 19524.449947410816, 177354.69965394732, -144384.35666374644, 177175.32690469347, 177204.2724137631, 177171.90708779183, -187500.02235174447, -187500.02235174447, 177136.3007588745, -187500.02235174447, 177155.7691282951, 177132.92564546177, 176983.25836458904, 177056.75090035808, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198248875E9, 0.0, 2025-12-15 12:25:19.824
97.0, 177043.67512985173, -91883.79697606528, 24376.87955819125, 177282.72703680123, -126685.46309297837, 177108.45048528322, 177132.88094197286, 177100.6050229794, -187500.02235174447, -187500.02235174447, 177063.70229288368, -187500.02235174447, 177083.3494762599, 177060.4836416821, 176910.61519510928, 176984.13008262278, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198249004E9, 0.0, 2025-12-15 12:25:19.824
98.0, 176971.92603015018, -101580.11783124422, 29085.94508003534, 177213.4366289898, -109220.65934189074, 177044.21157171865, 177064.21638300616, 177031.87340877933, -187500.02235174447, -187500.02235174447, 176996.40119032876, -187500.02235174447, 177016.20483591614, 176993.45076006066, 176843.26938906545, 176916.76192483449, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198249116E9, 0.0, 2025-12-15 12:25:19.824
99.0, -139994.80932889096, -109408.74927148216, -124036.35669187985, -93710.73916086426, -131428.34680418335, -129583.21029939775, -129961.96060919293, -187500.02235174447, -130229.04160368939, -130711.36989729047, -129017.86762688967, -129470.42339687627, -129067.10851992472, -130460.56097275746, -187500.02235174447, -117108.52290493523, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198249228E9, 0.0, 2025-12-15 12:25:19.824
100.0, -140180.77584275912, -109658.75353321475, -123960.62898166526, -93820.01683950625, -131341.33146301884, -129511.72942062968, -129847.81025025967, -187500.02235174447, -130140.70750960203, -130621.24766364666, -128930.09232641368, -129385.285602246, -128981.43428342752, -130373.16565193722, -187500.02235174447, -117209.79865906223, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765772719824934E9, 0.0, 2025-12-15 12:25:19.824
101.0, -140201.65237208037, -109734.19067075141, -123914.91966425415, -93842.5026944283, -131351.30034104592, -129444.92005645277, -129805.05136311667, -187500.02235174447, -130144.1720299926, -130614.72095426572, -128925.28670135578, -129395.90268086227, -128988.43037944203, -130382.53103286399, -187500.02235174447, -117234.56439191871, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198249447E9, 0.0, 2025-12-15 12:25:19.824
102.0, -140161.86626694995, -109723.68535085743, -123925.35792891479, -93830.5445111447, -131378.8153384704, -129446.61878903137, -129845.50802058078, -187500.02235174447, -130175.06214082983, -130639.75490805566, -128953.91928600303, -129421.96481489716, -129018.09114433422, -130409.62134714382, -187500.02235174447, -117239.83940361017, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765772719824983E9, 0.0, 2025-12-15 12:25:19.824
103.0, -140135.55826372604, -109703.05469072518, -123965.43460672315, -93811.83610103562, -131355.9495038926, -129428.53622776702, -129899.21926250689, -187500.02235174447, -130154.36442546421, -130616.35263161095, -128934.33915786019, -129397.57906169642, -128996.0970277902, -130385.25794568754, -187500.02235174447, -117246.50022345784, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765772719824995E9, 0.0, 2025-12-15 12:25:19.824
104.0, -140016.66933496826, -109573.1687036954, -124037.98836922507, -93739.66231818942, -131370.008751155, -129389.59948892589, -129973.4270540985, -187500.02235174447, -130162.61221916822, -130617.89490197838, -128937.82602999521, -129413.35939328188, -129009.48572271893, -130399.02662027201, -187500.02235174447, -117210.80448756272, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.765772719825006E9, 0.0, 2025-12-15 12:25:19.825
105.0, -139844.73971661803, -109380.51901823509, -124122.9920533886, -93637.85012219551, -131404.02810621596, -129409.78311416903, -130051.32288352525, -187500.02235174447, -130200.00668764194, -130656.16108848585, -128973.7452833349, -129447.87048672087, -129045.44967954751, -130433.60476894437, -187500.02235174447, -117154.76866421326, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657727198250206E9, 0.0, 2025-12-15 12:25:19.825
