%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 1000 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
31.0, -144855.33027116422, -146074.26030328995, -146994.9510091485, -147185.56668586333, -158170.75618156866, -145734.78200850272, -153446.60323221723, -160436.73133095878, -148943.26316633978, -166729.14972652792, -151051.43499987543, -148232.27652696092, -164757.36823765855, -162372.817083933, -149689.72202416923, -147036.5029020909, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826708517E9, 0.0, 2025-12-13 19:54:42.670
32.0, -144901.77719614236, -146123.43414109162, -147041.8002655268, -147148.21692087853, -158214.38678674542, -145689.5867812141, -153527.15891923415, -160442.9674676618, -148991.29706517424, -166643.69900747528, -151099.1112707986, -148279.81868741737, -164787.6995548844, -162283.0971816894, -149734.8501962245, -147018.46504431547, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826708724E9, 0.0, 2025-12-13 19:54:42.670
33.0, -144988.5690198623, -146216.39504628122, -147140.75143823045, -147124.21114733352, -158292.68494757236, -145654.36043195255, -153660.50942665452, -160444.8673659405, -149048.27166179082, -166541.5068318256, -151156.24232962637, -148336.502711356, -164818.88023839955, -162172.8360262914, -149788.94141780632, -147001.67888422954, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826708858E9, 0.0, 2025-12-13 19:54:42.670
34.0, -145205.24683061204, -146451.04365957304, -147377.25524631207, -147116.3656850297, -158445.28030696875, -145616.5636320786, -153917.59919137947, -160408.72459515627, -149190.00407338192, -166333.38973920225, -151297.28183713937, -148476.20111420169, -164887.23187294387, -161935.95223855405, -149923.36480896056, -146982.81401190927, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709032E9, 0.0, 2025-12-13 19:54:42.670
35.0, -145479.50273507868, -146730.30635479765, -147636.82605467155, -147172.490915357, -158571.14297999657, -145664.66458614642, -154132.5335660617, -160337.15430941037, -149479.05683267795, -165913.35575739812, -151586.11107899083, -148763.93512057487, -164995.66018529658, -161441.64340992493, -150197.12897504916, -146947.25238648086, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709175E9, 0.0, 2025-12-13 19:54:42.670
36.0, -145684.02119684473, -146926.55467111524, -147819.21628942684, -147274.6160357733, -158633.23612609343, -145793.29887548674, -154240.3583813141, -160269.98731732217, -149739.5440625601, -165530.9621132567, -151847.26886120666, -149025.7187516354, -165060.94963085052, -160977.3976775882, -150446.77560887046, -146917.8821942666, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709292E9, 0.0, 2025-12-13 19:54:42.670
37.0, -145823.85371015713, -147059.8157715578, -147946.88945375558, -147378.775164935, -158669.02126896635, -145934.11486555517, -154306.18426873497, -160214.19736316174, -149904.41052966245, -165286.14345623774, -152012.40354924244, -149191.43458502705, -165084.46366601752, -160671.4246477395, -150611.01622712807, -146906.90748773902, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709418E9, 0.0, 2025-12-13 19:54:42.670
38.0, -145910.77964434383, -147136.4375515506, -148013.45294874348, -147494.7136634247, -158660.43819909552, -146091.35938779823, -154291.00743424983, -160168.93508063973, -150014.3587606381, -165110.63755877467, -152122.64235289601, -149302.61216194776, -165089.96219515352, -160450.1200258875, -150722.95376336024, -146903.35356037066, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709535E9, 0.0, 2025-12-13 19:54:42.670
39.0, -145928.4375224635, -147143.79127547637, -148019.15264357958, -147589.7756325931, -158612.2925415388, -146223.88288067377, -154211.6587414335, -160127.0926150194, -150052.49083667886, -165070.6726396886, -152161.60144348163, -149342.42061882265, -165062.53660470684, -160380.06965876458, -150762.9410341908, -146912.6295343196, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709676E9, 0.0, 2025-12-13 19:54:42.670
40.0, -145925.08476079523, -147135.09644688325, -148012.22360279842, -147663.62579627347, -158564.83978806017, -146322.3870184883, -154130.61131603853, -160095.91193150426, -150040.42089467298, -165103.44029706006, -152149.59855670913, -149330.73065647253, -165016.71552857346, -160395.58176941655, -150754.26855734212, -146919.5362233563, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7656268826709795E9, 0.0, 2025-12-13 19:54:42.670
