%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 1000 Hz
%Board = OpenBCI_GUI$BoardCytonWifiDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
2.0, -187500.02235174447, -187500.02235174447, -134760.54486758052, -135196.71680888138, -187500.02235174447, 50321.89045213348, -184943.00513780178, -132346.735280363, -132063.40456764752, 50315.96723985282, -134280.1388240026, 50376.316949882144, -187500.02235174447, -183904.8113113417, 50258.03151822466, -137123.34777395104, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201083E9, 0.0, 2025-12-14 20:36:35.420
3.0, -187500.02235174447, -187500.02235174447, -134757.0579954455, -134678.40220670728, -187500.02235174447, 50363.2858828647, -185128.03287840282, -132231.78025862935, -131581.1656810243, 50357.34031883959, -133683.32489530146, 50417.64532538001, -187500.02235174447, -183972.04535866325, 50299.09167278906, -137007.29751673908, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201293E9, 0.0, 2025-12-14 20:36:35.420
4.0, -187500.02235174447, -187500.02235174447, -134686.40413122228, -134534.23345497056, -187500.02235174447, 50369.20909514536, -185202.50889092791, -132137.45589702798, -131191.95475482402, 50370.90782772396, -133443.0436424069, 50431.36929647557, -187500.02235174447, -184006.1764724465, 50312.7262369068, -136903.85364339993, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201396E9, 0.0, 2025-12-14 20:36:35.420
5.0, -187500.02235174447, -187500.02235174447, -134588.3693800413, -134794.1618912413, -187500.02235174447, 50365.52105731023, -185185.58862037523, -132096.59690816366, -130973.48880451785, 50367.91269396695, -133611.59814734437, 50428.24005225182, -187500.02235174447, -184004.6342020791, 50309.708751405335, -136836.53018910054, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201496E9, 0.0, 2025-12-14 20:36:35.420
6.0, -187500.02235174447, -187500.02235174447, -134494.35794286226, -135268.19768764946, -187500.02235174447, 50358.94964444037, -185120.2991748213, -132097.80390236425, -130936.13903953304, 50362.704737508866, -134035.78955361719, 50422.69681962691, -187500.02235174447, -183979.51084131133, 50304.321980991605, -136811.20566263268, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201596E9, 0.0, 2025-12-14 20:36:35.420
7.0, -187500.02235174447, -187500.02235174447, -134408.46018892052, -135829.2041217332, -187500.02235174447, 50345.87387393402, -185022.91262422953, -132124.7824579218, -131023.84728477566, 50350.97007166983, -134555.7134813921, 50410.850395065594, -187500.02235174447, -183936.1037535791, 50292.7214256193, -136812.16678764424, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201684E9, 0.0, 2025-12-14 20:36:35.420
8.0, -187500.02235174447, -187500.02235174447, -134336.711089219, -136535.94392966558, -187500.02235174447, 50332.351068538555, -184894.45714884487, -132189.93779300904, -131236.65824373462, 50337.044934874175, -135219.5602917147, 50396.612333847566, -187500.02235174447, -183875.57522959416, 50278.79628882364, -136845.80616304948, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201784E9, 0.0, 2025-12-14 20:36:35.420
9.0, -187500.02235174447, -187500.02235174447, -134288.14074851762, -137288.9071451315, -187500.02235174447, 50319.76703641022, -184751.6518535199, -132282.965753432, -131563.17252673776, 50324.63971670148, -135964.02984428764, 50384.20711567487, -187500.02235174447, -183810.79987416268, 50266.25696018422, -136914.31425980502, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201872E9, 0.0, 2025-12-14 20:36:35.420
10.0, -187500.02235174447, -187500.02235174447, -134262.3915389051, -137985.5663163145, -187500.02235174447, 50307.540632193166, -184607.50545352764, -132385.6943709486, -131942.81690631114, 50311.96627759532, -136652.5976839778, 50371.46662133535, -187500.02235174447, -183744.45989661932, 50253.51646584469, -136997.46274917875, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954201963E9, 0.0, 2025-12-14 20:36:35.420
11.0, -187500.02235174447, -187500.02235174447, -134238.67633803803, -138835.11141957183, -187500.02235174447, 50291.469727929805, -184422.1200850153, -132525.3257185609, -132391.48347276254, 50297.43764369937, -137447.96215867545, 50357.00504267276, -187500.02235174447, -183674.99067485222, 50239.25605288221, -137109.13206447745, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954202049E9, 0.0, 2025-12-14 20:36:35.420
12.0, -187500.02235174447, -187500.02235174447, -134222.62778551911, -139730.07526756232, -187500.02235174447, 50268.35802416301, -184201.977753875, -132689.34281937397, -132927.0759734006, 50275.152954477424, -138356.94055043944, 50334.49683600627, -187500.02235174447, -183605.11912168493, 50217.17252936036, -137254.84308658162, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7657157954202137E9, 0.0, 2025-12-14 20:36:35.420
